ORIGINAL UNITS:,METRIC,MAP PROJECTION:,NAD 83
WELL INFORMATION
UWID:,100/05-08-013-18W4/00
NAME:,BOC775 RETLAW 5-8-13-18
KB ELEVATION(m):,     824.1
GROUND ELEVATION(m):,     819.6
BH COORD(m N):,     430.2,RELATIVE TO,SW 08-013-18W4
BH COORD(m E):,      96.3,RELATIVE TO,SW 08-013-18W4
BH COORD LAT(deg N):,  50.06638
BH COORD LONG(deg E):,-112.43718
SH LOC:,04-16-013-18W4
SH COORD(m N):,     107.3,RELATIVE TO,SW 16-013-18W4
SH COORD(m E):,      50.5,RELATIVE TO,SW 16-013-18W4
SH COORD LAT(deg N):,  50.07815
SH COORD LONG(deg E):,-112.41502
Grid Convergence(°):,-1.09
100/05-08-013-18W4/00,   1801.21,     89.70,    229.10,   1045.15,   -348.44,   -669.52
100/05-08-013-18W4/00,   1814.84,     89.60,    230.70,   1045.23,   -358.89,   -678.30
100/05-08-013-18W4/00,   1828.48,     89.70,    231.90,   1045.31,   -369.48,   -686.86
100/05-08-013-18W4/00,   1842.13,     90.30,    233.40,   1045.31,   -380.36,   -695.20
100/05-08-013-18W4/00,   1855.77,     90.80,    234.80,   1045.18,   -391.38,   -703.09
100/05-08-013-18W4/00,   1869.42,     91.10,    236.70,   1044.96,   -402.68,   -710.88
100/05-08-013-18W4/00,   1883.07,     90.70,    238.20,   1044.74,   -414.21,   -718.21
100/05-08-013-18W4/00,   1896.71,     90.00,    240.10,   1044.66,   -425.87,   -725.11
100/05-08-013-18W4/00,   1899.22,     90.06,    240.03,   1044.66,   -428.09,   -726.44
100/05-08-013-18W4/00,   1910.35,     90.30,    239.70,   1044.62,   -437.68,   -732.00
100/05-08-013-18W4/00,   1923.98,     90.20,    239.30,   1044.56,   -449.42,   -738.89
100/05-08-013-18W4/00,   1937.63,     90.60,    238.60,   1044.47,   -461.08,   -745.89
100/05-08-013-18W4/00,   1951.28,     90.50,    238.80,   1044.34,   -472.75,   -753.01
